token,df,df_frac
npm::@babel/plugin-transform-reserved-words,107,0.20265151515151514
npm::@babel/plugin-transform-shorthand-properties,118,0.22348484848484848
npm::@babel/plugin-transform-spread,118,0.22348484848484848
npm::@babel/plugin-transform-sticky-regex,116,0.2196969696969697
npm::@babel/plugin-transform-template-literals,118,0.22348484848484848
npm::@babel/plugin-transform-typeof-symbol,112,0.21212121212121213
npm::@babel/plugin-transform-unicode-regex,116,0.2196969696969697
npm::@babel/preset-env,112,0.21212121212121213
npm::@babel/runtime,128,0.24242424242424243
npm::@babel/template,144,0.2727272727272727
npm::@babel/traverse,144,0.2727272727272727
npm::@babel/types,147,0.2784090909090909
npm::@nodelib/fs.scandir,108,0.20454545454545456
npm::@nodelib/fs.stat,134,0.2537878787878788
npm::@nodelib/fs.walk,108,0.20454545454545456
npm::@types/node,156,0.29545454545454547
npm::@webassemblyjs/ast,108,0.20454545454545456
npm::@webassemblyjs/floating-point-hex-parser,108,0.20454545454545456
npm::@webassemblyjs/helper-api-error,108,0.20454545454545456
npm::@webassemblyjs/helper-buffer,108,0.20454545454545456
npm::@webassemblyjs/helper-wasm-bytecode,108,0.20454545454545456
npm::@webassemblyjs/helper-wasm-section,108,0.20454545454545456
npm::@webassemblyjs/ieee754,108,0.20454545454545456
npm::@webassemblyjs/leb128,108,0.20454545454545456
npm::@webassemblyjs/utf8,108,0.20454545454545456
npm::@webassemblyjs/wasm-edit,108,0.20454545454545456
npm::@webassemblyjs/wasm-gen,108,0.20454545454545456
npm::@webassemblyjs/wasm-opt,108,0.20454545454545456
npm::@webassemblyjs/wasm-parser,108,0.20454545454545456
npm::@webassemblyjs/wast-printer,108,0.20454545454545456
npm::@xtuc/ieee754,108,0.20454545454545456
npm::@xtuc/long,108,0.20454545454545456
npm::accepts,180,0.3409090909090909
npm::acorn,174,0.32954545454545453
npm::acorn-jsx,124,0.23484848484848486
npm::ajv,174,0.32954545454545453
npm::ajv-keywords,123,0.23295454545454544
npm::ansi-escapes,128,0.24242424242424243
npm::ansi-regex,197,0.3731060606060606
npm::ansi-styles,203,0.38446969696969696
npm::anymatch,190,0.35984848484848486
npm::aproba,112,0.21212121212121213
npm::argparse,166,0.3143939393939394
npm::arr-diff,107,0.20265151515151514
npm::arr-flatten,108,0.20454545454545456
npm::array-flatten,155,0.2935606060606061
npm::array-union,139,0.26325757575757575
npm::array-unique,107,0.20265151515151514
npm::asap,109,0.20643939393939395
npm::async,146,0.2765151515151515
npm::asynckit,155,0.2935606060606061
npm::atob,108,0.20454545454545456
npm::autoprefixer,129,0.24431818181818182
npm::babel-loader,113,0.21401515151515152
npm::balanced-match,207,0.39204545454545453
npm::base64-js,121,0.22916666666666666
npm::batch,115,0.2178030303030303
npm::big.js,117,0.2215909090909091
npm::binary-extensions,179,0.3390151515151515
npm::bluebird,127,0.24053030303030304
npm::body-parser,166,0.3143939393939394
npm::boolbase,113,0.21401515151515152
npm::brace-expansion,207,0.39204545454545453
npm::braces,197,0.3731060606060606
npm::browserslist,162,0.3068181818181818
npm::buffer,108,0.20454545454545456
npm::buffer-from,146,0.2765151515151515
npm::bytes,182,0.3446969696969697
npm::call-bind,125,0.23674242424242425
npm::callsites,159,0.30113636363636365
npm::camelcase,167,0.3162878787878788
npm::caniuse-lite,164,0.3106060606060606
npm::chalk,201,0.3806818181818182
npm::chokidar,178,0.3371212121212121
npm::chownr,107,0.20265151515151514
npm::chrome-trace-event,109,0.20643939393939395
npm::ci-info,122,0.23106060606060605
npm::cliui,157,0.29734848484848486
npm::co,107,0.20265151515151514
npm::color-convert,198,0.375
npm::color-name,199,0.3768939393939394
npm::combined-stream,155,0.2935606060606061
npm::commander,176,0.3333333333333333
npm::commondir,127,0.24053030303030304
npm::component-emitter,112,0.21212121212121213
npm::compressible,124,0.23484848484848486
npm::compression,124,0.23484848484848486
npm::concat-map,203,0.38446969696969696
npm::connect-history-api-fallback,112,0.21212121212121213
npm::content-disposition,158,0.29924242424242425
npm::content-type,162,0.3068181818181818
npm::convert-source-map,164,0.3106060606060606
npm::cookie,171,0.32386363636363635
npm::cookie-signature,157,0.29734848484848486
npm::core-js,129,0.24431818181818182
npm::core-js-compat,110,0.20833333333333334
npm::core-util-is,167,0.3162878787878788
npm::cosmiconfig,131,0.2481060606060606
npm::cross-spawn,182,0.3446969696969697
npm::css-loader,109,0.20643939393939395
npm::css-select,111,0.21022727272727273
npm::css-what,112,0.21212121212121213
npm::cssesc,130,0.24621212121212122
npm::debug,220,0.4166666666666667
npm::decamelize,119,0.22537878787878787
npm::decode-uri-component,107,0.20265151515151514
npm::deep-is,135,0.2556818181818182
npm::define-properties,146,0.2765151515151515
npm::delayed-stream,155,0.2935606060606061
npm::depd,182,0.3446969696969697
npm::destroy,179,0.3390151515151515
npm::dir-glob,121,0.22916666666666666
npm::doctrine,125,0.23674242424242425
npm::dom-serializer,117,0.2215909090909091
npm::domelementtype,117,0.2215909090909091
npm::domhandler,112,0.21212121212121213
npm::domutils,117,0.2215909090909091
npm::dotenv,116,0.2196969696969697
npm::ee-first,180,0.3409090909090909
npm::electron-to-chromium,162,0.3068181818181818
npm::emoji-regex,161,0.30492424242424243
npm::emojis-list,116,0.2196969696969697
npm::encodeurl,177,0.3352272727272727
npm::end-of-stream,113,0.21401515151515152
npm::enhanced-resolve,123,0.23295454545454544
npm::entities,120,0.22727272727272727
npm::error-ex,161,0.30492424242424243
npm::es-abstract,129,0.24431818181818182
npm::es-to-primitive,129,0.24431818181818182
npm::escalade,127,0.24053030303030304
npm::escape-html,179,0.3390151515151515
npm::escape-string-regexp,189,0.35795454545454547
npm::eslint,132,0.25
npm::eslint-scope,149,0.2821969696969697
npm::eslint-visitor-keys,116,0.2196969696969697
npm::espree,125,0.23674242424242425
npm::esprima,151,0.2859848484848485
npm::esquery,123,0.23295454545454544
npm::esrecurse,155,0.2935606060606061
npm::estraverse,164,0.3106060606060606
npm::esutils,167,0.3162878787878788
npm::etag,178,0.3371212121212121
npm::eventemitter3,126,0.23863636363636365
npm::events,126,0.23863636363636365
npm::execa,147,0.2784090909090909
npm::expand-brackets,107,0.20265151515151514
npm::express,175,0.3314393939393939
npm::extglob,107,0.20265151515151514
npm::fast-deep-equal,172,0.32575757575757575
npm::fast-glob,130,0.24621212121212122
npm::fast-json-stable-stringify,167,0.3162878787878788
npm::fast-levenshtein,139,0.26325757575757575
npm::fastq,108,0.20454545454545456
npm::faye-websocket,111,0.21022727272727273
npm::file-entry-cache,124,0.23484848484848486
npm::fill-range,197,0.3731060606060606
npm::finalhandler,178,0.3371212121212121
npm::find-cache-dir,130,0.24621212121212122
npm::find-up,176,0.3333333333333333
npm::flat-cache,124,0.23484848484848486
npm::flatted,123,0.23295454545454544
npm::follow-redirects,133,0.2518939393939394
npm::for-in,108,0.20454545454545456
npm::form-data,154,0.2916666666666667
npm::forwarded,154,0.2916666666666667
npm::fresh,179,0.3390151515151515
npm::fs-extra,136,0.25757575757575757
npm::fs.realpath,192,0.36363636363636365
npm::fsevents,193,0.36553030303030304
npm::function-bind,193,0.36553030303030304
npm::gensync,120,0.22727272727272727
npm::get-caller-file,156,0.29545454545454547
npm::get-intrinsic,125,0.23674242424242425
npm::get-stream,155,0.2935606060606061
npm::glob,196,0.3712121212121212
npm::glob-parent,199,0.3768939393939394
npm::globals,168,0.3181818181818182
npm::globby,142,0.2689393939393939
npm::graceful-fs,185,0.3503787878787879
npm::has,162,0.3068181818181818
npm::has-flag,202,0.38257575757575757
npm::has-symbols,163,0.3087121212121212
npm::hosted-git-info,109,0.20643939393939395
npm::html-entities,110,0.20833333333333334
npm::htmlparser2,107,0.20265151515151514
npm::http-errors,182,0.3446969696969697
npm::http-proxy,114,0.2159090909090909
npm::iconv-lite,191,0.36174242424242425
npm::ieee754,108,0.20454545454545456
npm::ignore,147,0.2784090909090909
npm::import-fresh,141,0.26704545454545453
npm::import-local,119,0.22537878787878787
npm::imurmurhash,169,0.32007575757575757
npm::indent-string,114,0.2159090909090909
npm::inflight,192,0.36363636363636365
npm::inherits,218,0.4128787878787879
npm::ini,140,0.26515151515151514
npm::ipaddr.js,155,0.2935606060606061
npm::is-arrayish,162,0.3068181818181818
npm::is-binary-path,178,0.3371212121212121
npm::is-buffer,120,0.22727272727272727
npm::is-callable,130,0.24621212121212122
npm::is-core-module,125,0.23674242424242425
npm::is-date-object,135,0.2556818181818182
npm::is-extendable,109,0.20643939393939395
npm::is-extglob,199,0.3768939393939394
npm::is-fullwidth-code-point,186,0.3522727272727273
npm::is-glob,199,0.3768939393939394
npm::is-number,197,0.3731060606060606
npm::is-obj,109,0.20643939393939395
npm::is-path-inside,130,0.24621212121212122
npm::is-plain-obj,112,0.21212121212121213
npm::is-plain-object,117,0.2215909090909091
npm::is-regex,136,0.25757575757575757
npm::is-stream,153,0.2897727272727273
npm::is-symbol,130,0.24621212121212122
npm::is-typedarray,133,0.2518939393939394
npm::is-wsl,134,0.2537878787878788
npm::isarray,178,0.3371212121212121
npm::isexe,185,0.3503787878787879
npm::isobject,123,0.23295454545454544
npm::jest-worker,119,0.22537878787878787
npm::js-tokens,174,0.32954545454545453
npm::js-yaml,166,0.3143939393939394
npm::jsesc,159,0.30113636363636365
npm::json-schema,117,0.2215909090909091
npm::json-schema-traverse,170,0.32196969696969696
npm::json-stable-stringify-without-jsonify,119,0.22537878787878787
npm::json5,170,0.32196969696969696
npm::jsonfile,136,0.25757575757575757
npm::kind-of,154,0.2916666666666667
npm::leven,109,0.20643939393939395
npm::levn,135,0.2556818181818182
npm::lines-and-columns,112,0.21212121212121213
npm::loader-runner,119,0.22537878787878787
npm::loader-utils,116,0.2196969696969697
npm::locate-path,167,0.3162878787878788
npm::lodash,183,0.3465909090909091
npm::loose-envify,135,0.2556818181818182
npm::lru-cache,196,0.3712121212121212
npm::make-dir,158,0.29924242424242425
npm::media-typer,161,0.30492424242424243
npm::merge-descriptors,154,0.2916666666666667
npm::merge-stream,129,0.24431818181818182
npm::merge2,129,0.24431818181818182
npm::methods,158,0.29924242424242425
npm::micromatch,178,0.3371212121212121
npm::mime,188,0.3560606060606061
npm::mime-db,202,0.38257575757575757
npm::mime-types,202,0.38257575757575757
npm::mimic-fn,144,0.2727272727272727
npm::minimalistic-assert,119,0.22537878787878787
npm::minimatch,207,0.39204545454545453
npm::minimist,187,0.3541666666666667
npm::minipass,110,0.20833333333333334
npm::mkdirp,167,0.3162878787878788
npm::ms,219,0.4147727272727273
npm::nanoid,106,0.20075757575757575
npm::natural-compare,133,0.2518939393939394
npm::negotiator,181,0.3428030303030303
npm::neo-async,129,0.24431818181818182
npm::node-forge,107,0.20265151515151514
npm::node-releases,149,0.2821969696969697
npm::normalize-package-data,106,0.20075757575757575
npm::normalize-path,193,0.36553030303030304
npm::normalize-range,127,0.24053030303030304
npm::normalize-url,116,0.2196969696969697
npm::npm-run-path,147,0.2784090909090909
npm::nth-check,113,0.21401515151515152
npm::object-assign,192,0.36363636363636365
npm::object-inspect,138,0.26136363636363635
npm::object-keys,148,0.2803030303030303
npm::object.assign,129,0.24431818181818182
npm::object.values,107,0.20265151515151514
npm::on-finished,180,0.3409090909090909
npm::on-headers,137,0.25946969696969696
npm::once,198,0.375
npm::onetime,140,0.26515151515151514
npm::optionator,135,0.2556818181818182
npm::p-limit,167,0.3162878787878788
npm::p-locate,167,0.3162878787878788
npm::p-try,150,0.2840909090909091
npm::parent-module,126,0.23863636363636365
npm::parse-json,162,0.3068181818181818
npm::parse5,110,0.20833333333333334
npm::parseurl,180,0.3409090909090909
npm::path-exists,176,0.3333333333333333
npm::path-is-absolute,192,0.36363636363636365
npm::path-key,175,0.3314393939393939
npm::path-parse,179,0.3390151515151515
npm::path-to-regexp,157,0.29734848484848486
npm::path-type,160,0.30303030303030304
npm::performance-now,124,0.23484848484848486
npm::picomatch,156,0.29545454545454547
npm::pify,162,0.3068181818181818
npm::pkg-dir,142,0.2689393939393939
npm::postcss,155,0.2935606060606061
npm::postcss-load-config,115,0.2178030303030303
npm::postcss-selector-parser,123,0.23295454545454544
npm::postcss-value-parser,139,0.26325757575757575
npm::prelude-ls,135,0.2556818181818182
npm::process-nextick-args,163,0.3087121212121212
npm::prop-types,107,0.20265151515151514
npm::proxy-addr,154,0.2916666666666667
npm::psl,113,0.21401515151515152
npm::pump,108,0.20454545454545456
npm::punycode,180,0.3409090909090909
npm::qs,183,0.3465909090909091
npm::randombytes,130,0.24621212121212122
npm::range-parser,178,0.3371212121212121
npm::raw-body,168,0.3181818181818182
npm::react,127,0.24053030303030304
npm::react-dom,117,0.2215909090909091
npm::react-is,108,0.20454545454545456
npm::readable-stream,177,0.3352272727272727
npm::readdirp,178,0.3371212121212121
npm::regenerate,135,0.2556818181818182
npm::regenerate-unicode-properties,117,0.2215909090909091
npm::regenerator-runtime,153,0.2897727272727273
npm::regenerator-transform,132,0.25
npm::regexpu-core,135,0.2556818181818182
npm::regjsgen,109,0.20643939393939395
npm::regjsparser,135,0.2556818181818182
npm::remove-trailing-separator,106,0.20075757575757575
npm::repeat-element,107,0.20265151515151514
npm::repeat-string,110,0.20833333333333334
npm::require-directory,156,0.29545454545454547
npm::require-main-filename,110,0.20833333333333334
npm::requires-port,122,0.23106060606060605
npm::resolve,180,0.3409090909090909
npm::resolve-cwd,120,0.22727272727272727
npm::resolve-from,175,0.3314393939393939
npm::reusify,108,0.20454545454545456
npm::rimraf,185,0.3503787878787879
npm::run-parallel,109,0.20643939393939395
npm::safe-buffer,207,0.39204545454545453
npm::safer-buffer,183,0.3465909090909091
npm::sax,135,0.2556818181818182
npm::schema-utils,116,0.2196969696969697
npm::semver,209,0.3958333333333333
npm::send,178,0.3371212121212121
npm::serialize-javascript,120,0.22727272727272727
npm::serve-index,115,0.2178030303030303
npm::serve-static,178,0.3371212121212121
npm::set-blocking,130,0.24621212121212122
npm::setprototypeof,181,0.3428030303030303
npm::shebang-command,177,0.3352272727272727
npm::shebang-regex,179,0.3390151515151515
npm::side-channel,116,0.2196969696969697
npm::signal-exit,180,0.3409090909090909
npm::slash,151,0.2859848484848485
npm::source-list-map,107,0.20265151515151514
npm::source-map,175,0.3314393939393939
npm::source-map-resolve,108,0.20454545454545456
npm::source-map-support,151,0.2859848484848485
npm::spdx-correct,106,0.20075757575757575
npm::spdx-expression-parse,106,0.20075757575757575
npm::spdx-license-ids,106,0.20075757575757575
npm::sprintf-js,151,0.2859848484848485
npm::statuses,182,0.3446969696969697
npm::string-width,186,0.3522727272727273
npm::string_decoder,176,0.3333333333333333
npm::strip-ansi,197,0.3731060606060606
npm::strip-bom,143,0.2708333333333333
npm::strip-json-comments,158,0.29924242424242425
npm::supports-color,207,0.39204545454545453
npm::tapable,123,0.23295454545454544
npm::terser,116,0.2196969696969697
npm::terser-webpack-plugin,108,0.20454545454545456
npm::text-table,133,0.2518939393939394
npm::to-fast-properties,160,0.30303030303030304
npm::to-regex-range,187,0.3541666666666667
npm::toidentifier,154,0.2916666666666667
npm::tough-cookie,128,0.24242424242424243
npm::tr46,122,0.23106060606060605
npm::tslib,146,0.2765151515151515
npm::type-check,135,0.2556818181818182
npm::type-fest,131,0.2481060606060606
npm::type-is,160,0.30303030303030304
npm::unicode-canonical-property-names-ecmascript,117,0.2215909090909091
npm::unicode-match-property-ecmascript,117,0.2215909090909091
npm::unicode-match-property-value-ecmascript,117,0.2215909090909091
npm::unicode-property-aliases-ecmascript,117,0.2215909090909091
npm::universalify,132,0.25
npm::unpipe,183,0.3465909090909091
npm::upath,110,0.20833333333333334
npm::uri-js,158,0.29924242424242425
npm::util-deprecate,187,0.3541666666666667
npm::utils-merge,179,0.3390151515151515
npm::uuid,158,0.29924242424242425
npm::validate-npm-package-license,106,0.20075757575757575
npm::vary,174,0.32954545454545453
npm::watchpack,121,0.22916666666666666
npm::webidl-conversions,122,0.23106060606060605
npm::webpack,128,0.24242424242424243
npm::webpack-dev-middleware,108,0.20454545454545456
npm::webpack-dev-server,109,0.20643939393939395
npm::webpack-sources,120,0.22727272727272727
npm::websocket-driver,109,0.20643939393939395
npm::websocket-extensions,109,0.20643939393939395
npm::whatwg-url,121,0.22916666666666666
npm::which,185,0.3503787878787879
npm::which-module,110,0.20833333333333334
npm::wrap-ansi,168,0.3181818181818182
npm::wrappy,198,0.375
npm::write-file-atomic,118,0.22348484848484848
npm::ws,148,0.2803030303030303
npm::xtend,130,0.24621212121212122
npm::y18n,158,0.29924242424242425
npm::yallist,192,0.36363636363636365
npm::yargs,157,0.29734848484848486
npm::yargs-parser,159,0.30113636363636365
